track_id,cluster_kmeans
4Ju07rGxUJcyuspDZ3WXf8,0
08VceLSSJJ83Yz3NTCyxZC,0
3HuuKDtvYnEbOhgMqbJdt6,0
4w3Uy4n1hfj1mx6ag7bII5,0
0GYx8Q9iS05CRe9kyzwAIL,0
5V4zPpSlvi92VV0XQBDrCN,0
16Hq5a7lO2NBIHpxJmmEaZ,0
5xalbHoIf0F0AmuTKlm2Ct,0
4pkb8SbRGeHAvdb87v9rpf,0
71BQG6SlpeXpdx7PJaFNnB,0
0zJWxs9N1pkwF1eKOepZFq,0
2wUz5a1i6DY4TlgfOb9zAR,0
74y1VgzL668hynrvA59WQB,0
3hdvaWRYm8FZcVsVLvnacf,0
25pgOj09yC4FtXuxjeQ2Lq,0
0dOTB6vk9BePXncGzIpH3P,0
5OFVzqSeFxGpvDGyHvVeLj,0
0pFjb91cHkXVsrIuSPdEHm,0
5CaUUACiQFEf4zR5WoeIrp,0
5Nwh8kghoqebxmco5ZWbDt,0
6GomT970rCOkKAyyrwJeZi,0
6m9MNl1Sgti4I3BWCYLh03,0
73rh3AJNXQl8iMWgWRrQTR,0
3WOhcATHxK2SLNeP5W3v1v,0
41sobnIHkkLY2E47PgiOqd,0
0sftzYE0YgPHXrvJyUyGjB,0
5GwOJaOWIuRi5eebSRnstT,0
4GXJRThrewRIe7tHw3fwuA,0
4jo1FF2N4yDePeKIkaJEos,0
3nEHrvNNtgLv9rneTAYVr4,0
6jhAJgaS9OttFwP5Cn8WII,0
3NQBkiunRNXCXEW0rH6QJB,0
17NHXI2CJp7KgdcwcDnRx4,0
1lbNgoJ5iMrMluCyhI4OQP,0
0OvO2X2Q3i98dc5RcgEN3x,0
40ElH3s6Z3fSSpLInPwqT4,0
5efSUL5l33zwhL7eDORYOL,0
3Dc5dnW7NCxssGVCIzQX3t,0
48lxT5qJF0yYyf2z4wB4xW,0
5fIZ683j2xPeLAXfHeWKEG,0
2iI9L65UEHXxyWxVIMNMrT,0
0hEjRndn2Rxf5LlROQOYty,0
5fF9T9SMqBKUvT06cn7kBR,0
6dBMlkbRewFLTPxX3Yi224,0
3qSA6X05sgJzCea1GUUR1w,0
5TKlp6Wjqdi0XjK78jTRAU,0
