,precision,recall,f1-score,support
0,0.9138481877272226,0.9119393139841688,0.9128927529851978,9096.0
1,0.8064282261962301,0.8101480941976208,0.8082838803439506,4119.0
accuracy,0.8802118804388952,0.8802118804388952,0.8802118804388952,0.8802118804388952
macro avg,0.8601382069617264,0.8610437040908948,0.8605883166645742,13215.0
weighted avg,0.8803663245757918,0.8802118804388952,0.8802870816715922,13215.0
