,precision,recall,f1-score,support
0,0.9092422057028736,0.9009454705364995,0.9050748246728146,9096.0
1,0.7855782960495002,0.8014081087642632,0.79341425309458,4119.0
accuracy,0.8699205448354143,0.8699205448354143,0.8699205448354143,0.8699205448354143
macro avg,0.8474102508761869,0.8511767896503813,0.8492445388836973,13215.0
weighted avg,0.8706972458949097,0.8699205448354143,0.870271200432879,13215.0
